"tax","religion","free_election","state_aid","civil_rights","women","posterior_C1","posterior_C2","posterior_C3","pred_class"
"5","5","10","10","5","6",0.309,0.474,0.218,2
"4","2","10","3","5","4",1,0,0,1
"6","6","6","6","6","6",0.999,0.001,0,1
"1","1","9","1","1","9",0,0,1,3
"8","8","9","8","8","9",0.997,0,0.003,1
"6","1","10","4","6","10",0.064,0,0.936,3
"5","2","2","7","10","10",0.018,0,0.982,3
"6","6","10","7","8","8",0.974,0,0.026,1
"4","4","5","5","8","5",0.066,0.934,0,2
"7","5","4","4","5","2",0.987,0.013,0,1
"3","7","9","4","10","10",0.212,0,0.788,3
"5","1","10","6","9","10",0.015,0,0.985,3
"5","5","5","5","4","4",0,1,0,2
"1","1","10","5","10","10",0,0,1,3
"3","1","10","6","8","10",0.012,0,0.988,3
"5","2","10","8","8","10",0.2,0,0.8,3
"6","1","9","7","10","9",0.218,0,0.782,3
"6","1","10","10","10","10",0,0,1,3
"1","1","10","10","10","10",0,0,1,3
"2","2","9","3","10","10",0.029,0,0.971,3
"5","2","10","10","10","3",0.007,0,0.993,3
"5","5","5","5","5","5",0,1,0,2
"5","5","7","6","10","10",0.618,0,0.382,1
"3","1","10","3","10","10",0,0,1,3
"7","1","10","8","10","10",0,0,1,3
"7","4","7","7","7","7",1,0,0,1
"7","1","9","5","5","10",0.32,0.005,0.675,3
"1","1","10","1","10","10",0,0,1,3
"1","1","1","3","8","10",0.001,0,0.999,3
"7","1","9","7","9","9",0.897,0,0.103,1
"8","8","8","8","5","5",1,0,0,1
"6","1","10","4","10","10",0,0,1,3
"5","4","8","8","7","8",1,0,0,1
"1","1","10","8","7","8",0.096,0,0.904,3
"6","1","10","10","10","10",0,0,1,3
"7","1","10","7","10","10",0,0,1,3
"6","6","9","7","6","6",1,0,0,1
"3","3","9","3","5","5",0.993,0.004,0.003,1
"7","6","5","6","5","6",0.871,0.128,0.001,1
"7","5","9","7","9","10",0.918,0,0.082,1
"6","4","10","8","10","10",0.038,0,0.962,3
"4","2","9","3","8","9",0.994,0,0.006,1
"5","1","10","10","10","10",0,0,1,3
"1","7","10","1","3","5",0,0,1,3
"5","5","10","6","5","5",0.047,0.951,0.002,2
"2","2","9","4","6","3",0.994,0,0.006,1
"6","1","10","6","7","10",0.05,0,0.95,3
"1","1","10","1","10","10",0,0,1,3
"5","1","10","10","10","10",0,0,1,3
"2","1","9","2","1","2",0.024,0,0.976,3
"4","1","10","4","9","10",0.029,0,0.971,3
"5","5","5","5","5","5",0,1,0,2
"7","6","6","6","6","6",1,0,0,1
"10","1","10","10","5","7",0.005,0,0.995,3
"8","3","10","10","10","10",0.001,0,0.999,3
"10","10","10","10","10","10",0,0,1,3
"5","5","5","5","5","5",0,1,0,2
"5","5","5","5","5","5",0,1,0,2
"10","1","10","10","10","10",0,0,1,3
"6","4","9","6","8","10",0.967,0,0.033,1
"1","5","10","8","10","8",0.029,0,0.971,3
"1","2","10","2","5","9",0.164,0,0.836,3
"3","1","8","2","2","1",0.18,0,0.82,3
"5","3","8","8","5","5",1,0,0,1
"6","6","6","6","5","5",0.753,0.247,0,1
"7","1","10","5","10","10",0,0,1,3
"6","4","10","7","10","9",0.475,0,0.525,3
"7","5","10","5","6","10",0.543,0.011,0.446,1
"10","1","10","10","10","10",0,0,1,3
"1","7","10","10","10","10",0,0,1,3
"4","9","1","6","9","10",0.415,0,0.585,3
"8","9","10","8","9","10",0.283,0,0.717,3
"1","1","10","2","9","10",0,0,1,3
"8","7","8","7","8","10",0.971,0,0.029,1
"4","4","9","5","9","9",0.999,0,0.001,1
"1","1","10","7","10","10",0,0,1,3
"6","8","10","2","10","10",0.004,0,0.996,3
"7","4","8","8","8","10",0.99,0,0.01,1
